url,last_modified,title
https://finance.yahoo.com/video/secretary-mattis-calls-pittsburgh-synagogue-213914376.html,2018-10-28T21:39:14Z,secretary mattis calls pittsburgh synagogue 213914376
https://finance.yahoo.com/video/fbi-used-wealth-clues-left-213823297.html,2018-10-28T21:38:23Z,fbi used wealth clues left 213823297
https://finance.yahoo.com/news/world-series-game-5-five-things-need-know-first-pitch-212949403.html,2018-10-28T21:29:49Z,world series game 5 five things need know first pitch 212949403
https://finance.yahoo.com/news/adam-vinatieri-becomes-nfls-time-points-leader-212756943.html,2018-10-28T21:27:56Z,adam vinatieri becomes nfls time points leader 212756943
https://finance.yahoo.com/news/shaquem-griffin-inspires-young-1-handed-fan-detroit-211549547.html,2018-10-28T21:15:49Z,shaquem griffin inspires young 1 handed fan detroit 211549547
https://finance.yahoo.com/video/jae-crowder-211319953.html,2018-10-28T21:13:19Z,jae crowder 211319953
https://finance.yahoo.com/news/republicans-hold-midterm-cash-advantage-going-final-stretch-152250384.html,2018-10-28T21:10:50Z,republicans hold midterm cash advantage going final stretch 152250384
https://finance.yahoo.com/news/trump-falsely-claims-nyse-reopened-day-9-11-justify-holding-rally-210846041.html,2018-10-28T21:08:46Z,trump falsely claims nyse reopened day 9 11 justify holding rally 210846041
https://finance.yahoo.com/news/rams-paint-doesnt-quite-cover-usc-logos-la-coliseum-210814115.html,2018-10-28T21:08:14Z,rams paint doesnt quite cover usc logos la coliseum 210814115
https://finance.yahoo.com/video/etwaun-moore-210620306.html,2018-10-28T21:06:20Z,etwaun moore 210620306
https://finance.yahoo.com/video/joe-harris-210546919.html,2018-10-28T21:05:46Z,joe harris 210546919
https://finance.yahoo.com/video/bojan-bogdanovic-210510262.html,2018-10-28T21:05:10Z,bojan bogdanovic 210510262
https://finance.yahoo.com/video/tim-hardaway-jr-210428970.html,2018-10-28T21:04:28Z,tim hardaway jr 210428970
https://finance.yahoo.com/photos/top-shots-nfl-week-8-slideshow-wp-210423085/,2018-10-28T21:04:23Z,
https://finance.yahoo.com/video/baker-browns-struggle-again-pittsburgh-205916491.html,2018-10-28T20:59:16Z,baker browns struggle again pittsburgh 205916491
https://finance.yahoo.com/news/fantasy-hockey-whos-hot-whos-not-goaltender-far-205619641.html,2018-10-28T20:56:19Z,fantasy hockey whos hot whos not goaltender far 205619641
https://finance.yahoo.com/video/allen-crabbe-205531228.html,2018-10-28T20:55:31Z,allen crabbe 205531228
https://finance.yahoo.com/news/lewis-hamilton-clinches-fifth-formula-1-title-mexico-205226803.html,2018-10-28T20:52:26Z,lewis hamilton clinches fifth formula 1 title mexico 205226803
https://finance.yahoo.com/news/strictly-curse-couple-seann-walsh-katya-jones-finally-205035806.html,2018-10-28T20:50:35Z,strictly curse couple seann walsh katya jones finally 205035806
https://finance.yahoo.com/video/josh-richardson-204926522.html,2018-10-28T20:49:26Z,josh richardson 204926522
https://finance.yahoo.com/video/willie-cauley-stein-204658199.html,2018-10-28T20:46:58Z,willie cauley stein 204658199
https://finance.yahoo.com/video/kevin-love-204545819.html,2018-10-28T20:45:45Z,kevin love 204545819
https://finance.yahoo.com/video/jeff-teague-204522470.html,2018-10-28T20:45:22Z,jeff teague 204522470
https://finance.yahoo.com/video/jaren-jackson-jr-204456473.html,2018-10-28T20:44:56Z,jaren jackson jr 204456473
https://finance.yahoo.com/news/least-13-reasons-need-know-dylan-minnettes-fantastic-band-wallows-204236042.html,2018-10-28T20:42:36Z,least 13 reasons need know dylan minnettes fantastic band wallows 204236042
https://finance.yahoo.com/video/paul-millsap-203544228.html,2018-10-28T20:35:44Z,paul millsap 203544228
https://finance.yahoo.com/video/domantas-sabonis-203340153.html,2018-10-28T20:33:40Z,domantas sabonis 203340153
